,Product name: ,Price: ,Shipping: ,Total: ,URL: 
0,N/A,0.0,0.0,0.0,N/A
1,Pixies - Doolittle  [VINYL],41.38,0.0,41.38,https://www.ebay.com.au/itm/275318678203?epid=11050173324&hash=item401a45a2bb:g:AzAAAOSwpk5ih2qU
2,Pixies - Doolittle - Vinyl - New,39.99,9.3,49.290000000000006,https://www.ebay.com.au/itm/401461432262?epid=11050173324&hash=item5d78f74fc6:g:YAkAAOSwhAJgPtta
3,PIXIES - Doolittle - Vinyl (LP),45.37,6.89,52.26,https://www.ebay.com.au/itm/403675662296?epid=1605498731&hash=item5dfcf1c7d8:g:j7EAAOSwq3Zi4dDi
4,"New listingPixies Doolittle Vinyl / 12"" Album NEU",52.02,4.85,56.870000000000005,https://www.ebay.com.au/itm/284925126788?epid=159400277&hash=item4256dc6884:g:rGQAAOSwyFpi8Kuw
5,"Pixies Doolittle Vinyl / 12"" Album NEW",52.75,5.75,58.5,https://www.ebay.com.au/itm/304586293215?epid=1605498731&hash=item46eac1ffdf:g:W4gAAOSwR6li6~vm
6,Pixies - Doolittle Vinyl LP 2004 NEW,59.39,0.0,59.39,https://www.ebay.com.au/itm/234564878696?epid=11050173324&hash=item369d280168:g:ppwAAOSwtophucnm
7,Pixies - Doolittle [VINYL],56.51,3.84,60.349999999999994,https://www.ebay.com.au/itm/293044687054?epid=1605498731&hash=item443ad310ce:g:I1cAAOSwQTVeRY1s
8,PIXIES - DOOLITTLE NEW VINYL RECORD,50.22,15.25,65.47,https://www.ebay.com.au/itm/354014371785?epid=1605498731&hash=item526ce69fc9:g:ZQsAAOSwxidiXGIw
9,PIXIES - DOOLITTLE - VINYL LP 180g *NEW & SEALED*,40.98,26.86,67.84,https://www.ebay.com.au/itm/255662688583?epid=1605498731&hash=item3b86af0947:g:qbsAAOSwVYdi7QIK
10,PIXIES - DOOLITTLE NEW VINYL,47.69,20.6,68.28999999999999,https://www.ebay.com.au/itm/144069206149?epid=21046056610&hash=item218b31a085:i:144069206149
11,"Herb Alpert Rise / Aranjuez (Mon Amour) Spain Vinyl 7 "" 45 A&M 1979 (Promo)",23.44,0.0,23.44,https://www.ebay.com.au/itm/174593759955?hash=item28a6995ad3:g:xEUAAOSwGc5f~epw
12,"Herb Alpert 7"" vinyl single record Rise UK AMS7465 A&M 1979",21.0,8.44,29.439999999999998,https://www.ebay.com.au/itm/393903654902?hash=item5bb67cc7f6:g:W5cAAOSwnRFh8~bN
13,"Herb Alpert Rise - Alternate B-Side 7"" vinyl single record UK",22.92,8.44,31.36,https://www.ebay.com.au/itm/275150850985?hash=item401044cba9:g:9tcAAOSwW5Jh-kL3
14,"Herb Alpert Rise 12"" vinyl single record (Maxi) UK AMS7465 A&M",22.9,8.92,31.82,https://www.ebay.com.au/itm/275152212045?hash=item401059904d:g:Z~YAAOSwL3xh-6Wu
15,"ALPERT, Herb - Rise - Vinyl (12"")",30.02,6.89,36.91,https://www.ebay.com.au/itm/115484386733?hash=item1ae367e5ad:g:VrQAAOSwuT1i68Lm
16,"HERB ALPERT rise LP EX/EX, AMLH 64790, vinyl, album, soul-jazz, uk, 1979,",41.47,0.02,41.49,https://www.ebay.com.au/itm/125416511783?hash=item1d33681927:g:cWIAAOSwwrdi0B5Y
17,"HERB ALPERT rise (1st uk press) LP EX/EX, AMLH 64790, vinyl, album, soul-jazz",41.47,0.02,41.49,https://www.ebay.com.au/itm/304563600892?hash=item46e967bdfc:g:ulUAAOSwhsBi0B5i
18,"HERB ALPERT rise (1st uk press) LP EX/EX, AMLH 64790, vinyl, album, soul-jazz",41.47,0.02,41.49,https://www.ebay.com.au/itm/304563570162?hash=item46e96745f2:g:Ka0AAOSwARVi0BTi
19,"HERB ALPERT rise LP EX/EX, AMLH 64790, vinyl, album, soul-jazz, uk, 1979,",41.47,0.02,41.49,https://www.ebay.com.au/itm/295094378557?hash=item44b4fee03d:g:7PIAAOSwf4Ni0BeX
